                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                0.74272,                 0.4881,                0.94507,                0.99898,                0.97283,                0.98315,                0.85965,                0.64079,                0.39349,                0.90928,             0.00050665,             0.00050665,             0.00050665
                     90,                0.74068,                0.49917,                0.97739,                0.98925,                0.97073,                0.98218,                 0.8618,                0.63947,                0.39263,                0.90833,              0.0005043,              0.0005043,              0.0005043
                     91,                0.73015,                0.49243,                0.97042,                0.99206,                0.97026,                0.98181,                0.86527,                0.62433,                0.39548,                0.90042,             0.00050194,             0.00050194,             0.00050194
                     92,                0.71614,                0.47862,                0.94211,                0.98606,                0.95508,                0.97479,                0.85943,                0.62913,                0.40307,                0.90244,             0.00049959,             0.00049959,             0.00049959
                     93,                0.71788,                0.52186,                0.96157,                0.99479,                0.95798,                0.97673,                0.86326,                0.64985,                0.38644,                0.90972,             0.00049723,             0.00049723,             0.00049723
                     94,                0.71321,                0.48322,                  0.969,                0.99885,                 0.9488,                0.97253,                0.86381,                0.64574,                0.39004,                 0.9065,             0.00049487,             0.00049487,             0.00049487
                     95,                0.69884,                0.45952,                0.94235,                0.99897,                0.96192,                0.97776,                 0.8717,                0.60419,                0.38451,                0.89362,             0.00049252,             0.00049252,             0.00049252
                     96,                0.69171,                 0.4651,                0.92722,                      1,                0.94717,                0.97056,                0.86251,                0.60609,                0.38264,                0.88854,             0.00049016,             0.00049016,             0.00049016
                     97,                0.67796,                0.45336,                0.93448,                      1,                0.95446,                0.97463,                0.87101,                0.58743,                0.37248,                0.88487,              0.0004878,              0.0004878,              0.0004878
                     98,                0.69783,                0.46238,                0.93412,                      1,                0.96567,                0.98022,                 0.8808,                0.58928,                0.37145,                0.88378,             0.00048545,             0.00048545,             0.00048545
                     99,                0.69074,                0.47114,                0.92945,                      1,                0.96663,                0.98117,                0.87802,                0.59622,                0.37162,                0.88301,             0.00048309,             0.00048309,             0.00048309
                    100,                0.67158,                0.46474,                0.96413,                0.99899,                0.97452,                0.98457,                0.87783,                0.59688,                0.36594,                 0.8875,             0.00048074,             0.00048074,             0.00048074
                    101,                0.69729,                0.45685,                0.93325,                0.99875,                0.97452,                 0.9846,                0.89063,                0.57164,                0.36755,                0.87666,             0.00047838,             0.00047838,             0.00047838
                    102,                0.72761,                 0.4804,                0.96021,                0.99875,                0.97452,                 0.9845,                0.88915,                0.57173,                  0.369,                 0.8754,             0.00047602,             0.00047602,             0.00047602
                    103,                0.68589,                0.46361,                0.96325,                0.99675,                0.96897,                0.98209,                0.88759,                 0.5734,                0.36725,                0.87675,             0.00047367,             0.00047367,             0.00047367
                    104,                0.70353,                0.47715,                0.92735,                0.99802,                0.97541,                0.98481,                0.89477,                0.55121,                0.36515,                0.86905,             0.00047131,             0.00047131,             0.00047131
                    105,                0.66412,                 0.4556,                0.94219,                0.99895,                0.96543,                0.98042,                0.89041,                0.55779,                0.36196,                0.86714,             0.00046896,             0.00046896,             0.00046896
                    106,                0.66709,                0.46087,                0.92948,                0.99895,                0.97289,                0.98325,                0.88986,                 0.5469,                0.35133,                0.86856,              0.0004666,              0.0004666,              0.0004666
                    107,                0.66908,                0.43755,                0.93343,                      1,                 0.9805,                0.98667,                0.89455,                0.55275,                0.34778,                0.87004,             0.00046424,             0.00046424,             0.00046424
                    108,                0.65586,                0.44951,                0.94257,                      1,                0.97519,                0.98401,                0.89147,                0.54966,                0.34282,                0.87067,             0.00046189,             0.00046189,             0.00046189
                    109,                0.66586,                0.44774,                0.93331,                0.99773,                0.96598,                0.97966,                0.88618,                0.56272,                0.35496,                0.87924,             0.00045953,             0.00045953,             0.00045953
                    110,                0.69128,                0.45715,                0.93728,                      1,                0.97873,                0.98579,                0.89908,                0.56291,                0.34907,                0.87763,             0.00045717,             0.00045717,             0.00045717
